"Nr okręgu";"Pozycja na liście";"Nazwisko i imiona";"Nazwa komitetu";"Płeć";"Zawód";"Miejsce zamieszkania";"TERYT m. z.";"Gmina m. z.";"Przynależność do partii";"Poparcie";"Liczba głosów";"Procent głosów oddanych w okręgu";"Czy przyznano mandat"
30;;"Piotr Paweł GRACZYK";"KOMITET WYBORCZY WYBORCÓW RUCHU DOBROBYTU I POKOJU";"Mężczyzna";"chemik";"Bieńkówka";"121503";"gm. Budzów";"nie należy do partii politycznej";"";;;
30;;"Krzysztof Jan KLĘCZAR";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"psycholog";"Kęty";"121304";"gm. Kęty";"członek partii politycznej: Polskie Stronnictwo Ludowe";"";;;
30;;"Andrzej Michał PAJĄK";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"inżynier hutnik";"Zawoja";"121508";"gm. Zawoja";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
30;;"Dawid ŁUKAJCZYK";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"dziennikarz";"Trzebinia";"120305";"gm. Trzebinia";"nie należy do partii politycznej";"";;;
31;;"Wiesław Adam BATOR";"KOMITET WYBORCZY WOLNI I SOLIDARNI";"Mężczyzna";"nauczyciel akademicki - nauki humanistyczne";"Kraków";"126101";"m. Kraków";"członek partii politycznej: Wolni i Solidarni";"";;;
31;;"Grzegorz Franciszek MAŁODOBRY";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"urzędnik samorządowy";"Krzeszowice";"120606";"gm. Krzeszowice";"członek partii politycznej: Platforma Obywatelska RP";"";;;
31;;"Wojciech Piotr OZDOBA";"KOMITET WYBORCZY NOWA DEMOKRACJA - TAK";"Mężczyzna";"kierownik domu kultury";"Olkusz";"121205";"gm. Olkusz";"członek partii politycznej: Nowa Demokracja-Tak";"";;;
31;;"Marek PĘK";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"prawnik";"Kraków";"126101";"m. Kraków";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
32;;"Zbigniew Jan CICHOŃ";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"adwokat";"Wieliczka";"121905";"gm. Wieliczka";"nie należy do partii politycznej";"";;;
32;;"Jerzy Feliks FEDOROWICZ";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"aktor";"Kraków";"126101";"m. Kraków";"członek partii politycznej: Platforma Obywatelska RP";"";;;
33;;"Bogdan Adam KLICH";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"lekarz";"Kraków";"126101";"m. Kraków";"członek partii politycznej: Platforma Obywatelska RP";"";;;
33;;"Mateusz MAŁODZIŃSKI";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"wyższy urzędnik państwowy";"Kraków";"126101";"m. Kraków";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
34;;"Włodzimierz BERNACKI";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"nauczyciel akademicki";"Nowe Brzesko";"121403";"gm. Nowe Brzesko";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
34;;"Adam Janusz KORTA";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"inżynier inżynierii środowiska";"Proszówki";"120101";"m. Bochnia";"członek partii politycznej: Platforma Obywatelska RP";"";;;
34;;"Bartłomiej Hubert KRZYCH";"KOMITET WYBORCZY POLSKA JEST JEDNA";"Mężczyzna";"ekonomista - analityk";"Strumiany";"121905";"gm. Wieliczka";"nie należy do partii politycznej";"";;;
34;;"Radosław Michał MACOŃ";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"inżynier geodeta";"Bochnia";"120101";"m. Bochnia";"członek partii politycznej: Nowa Nadzieja";"";;;
35;;"Dariusz Zbigniew KLICH";"KOMITET WYBORCZY POLSKA JEST JEDNA";"Mężczyzna";"bioinżynier";"Zbylitowska Góra";"121609";"gm. Tarnów";"nie należy do partii politycznej";"";;;
35;;"Mirosław Sergiusz POŚWIATOWSKI";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"drukarz";"Tarnów";"126301";"m. Tarnów";"członek partii politycznej: Konfederacja Korony Polskiej";"";;;
35;;"Stanisław Andrzej SORYS";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"nauczyciel akademicki - nauki społeczne";"Pleśna";"121604";"gm. Pleśna";"członek partii politycznej: Polskie Stronnictwo Ludowe";"";;;
35;;"Józef SZTORC";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"technik elektryk";"Wola Rzędzińska";"121609";"gm. Tarnów";"nie należy do partii politycznej";"";;;
35;;"Kazimierz Adam WIATR";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"nauczyciel akademicki - nauki techniczne";"Kraków";"126101";"m. Kraków";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
36;;"Krzysztof CHMURA";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"przedsiębiorca";"Lipnica Mała";"121105";"gm. Jabłonka";"nie należy do partii politycznej";"";;;
36;;"Jan Wincenty HAMERSKI";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"parlamentarzysta";"Jaworki";"121102";"gm. Szczawnica";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
36;;"Bogusław WAKSMUNDZKI";"KOMITET WYBORCZY WYBORCÓW KANDYDAT ZIEM GÓRSKICH";"Mężczyzna";"pracownik samorządowy";"Grywałd";"121106";"gm. Krościenko nad Dunajcem";"nie należy do partii politycznej";"";;;
37;;"Wiktor Michał DURLAK";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"menedżer";"Wyskitna";"121004";"gm. Grybów";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
37;;"Jarosław Jerzy JAKUBOWSKI";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"nauczyciel";"Nowy Sącz";"126201";"m. Nowy Sącz";"członek partii politycznej: Nowa Nadzieja";"";;;
37;;"Beata KALISZ";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Kobieta";"pielęgniarka";"Gorlice";"120501";"m. Gorlice";"nie należy do partii politycznej";"";;;
37;;"Stanisław Wojciech PASOŃ";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"rolnik";"Moszczenica Niżna";"121016";"gm. Stary Sącz";"członek partii politycznej: Polskie Stronnictwo Ludowe";"";;;
38;;"Marek Eryk MARTYNOWSKI";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"ekonomista";"Płock";"146201";"m. Płock";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
38;;"Adam MATYSZEWSKI";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"nauczyciel";"Płock";"146201";"m. Płock";"członek partii politycznej: Konfederacja Korony Polskiej";"";;;
38;;"Sylwester Artur OSIŃSKI";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"ekonomista";"Żyrardów";"143801";"m. Żyrardów";"nie należy do partii politycznej";"";;;
38;;"Waldemar PAWLAK";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"inżynier mechanik";"Pacyna";"140403";"gm. Pacyna";"członek partii politycznej: Polskie Stronnictwo Ludowe";"";;;
39;;"Krzysztof BIEŃKOWSKI";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"ekonomista";"Przasnysz";"142201";"m. Przasnysz";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
39;;"Jan Maria JACKOWSKI";"KOMITET WYBORCZY WYBORCÓW JANA MARII JACKOWSKIEGO";"Mężczyzna";"dziennikarz";"Warszawa";"146507";"Praga-Południe";"nie należy do partii politycznej";"";;;
39;;"Gabriel JANOWSKI";"KOMITET WYBORCZY ZJEDNOCZENIE CHRZEŚCIJAŃSKICH RODZIN";"Mężczyzna";"nauczyciel akademicki";"Stare Faszczyce";"143201";"gm. Błonie";"nie należy do partii politycznej";"";;;
40;;"Jolanta Emilia HIBNER";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Kobieta";"inżynier inżynierii środowiska";"Warszawa";"146519";"Żoliborz";"członek partii politycznej: Platforma Obywatelska RP";"";;;
40;;"Urszula Barbara KRAWCZYK";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Kobieta";"prezes";"Czeczotki";"141402";"gm. Czosnów";"nie należy do partii politycznej";"";;;
40;;"Adam LUBIAK";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"przedstawiciel władzy samorządowej";"Wołomin";"143412";"gm. Wołomin";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
40;;"Robert ROGUSKI";"KOMITET WYBORCZY WYBORCÓW ROBERTA ROGUSKIEGO";"Mężczyzna";"manager";"Kobyłka";"143401";"m. Kobyłka";"nie należy do partii politycznej";"";;;
41;;"Michał Tomasz KAMIŃSKI";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"parlamentarzysta";"Józefów";"141701";"m. Józefów";"członek partii politycznej: Unia Europejskich Demokratów";"";;;
41;;"Łukasz Paweł MALCZYK";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"ekonomista";"Warszawa";"146514";"Wawer";"nie należy do partii politycznej";"";;;
41;;"Barbara Jadwiga SOCHA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"ekonomista";"Warszawa";"146514";"Wawer";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
41;;"Paweł WALO";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"wyższy urzędnik samorządowy";"Józefów";"141701";"m. Józefów";"członek partii politycznej: Nowa Nadzieja";"";;;
42;;"Marek Stefan BOROWSKI";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"ekonomista";"Warszawa";"146505";"Mokotów";"członek partii politycznej: Platforma Obywatelska RP";"";;;
42;;"Wojciech Jakub ZABŁOCKI";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"przedsiębiorca";"Warszawa";"146513";"Ursynów";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
43;;"Alvin GAJADHUR";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"urzędnik państwowy";"Warszawa";"146505";"Mokotów";"nie należy do partii politycznej";"";;;
43;;"Małgorzata Maria KIDAWA-BŁOŃSKA";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Kobieta";"producent filmowy";"Warszawa";"146512";"Ursus";"członek partii politycznej: Platforma Obywatelska RP";"";;;
44;;"Adam Piotr BODNAR";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"nauczyciel akademicki";"Warszawa";"146513";"Ursynów";"nie należy do partii politycznej";"";;;
44;;"Alicja ŻEBROWSKA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"menadżer";"Warszawa";"146511";"Targówek";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
45;;"Magdalena Agnieszka BIEJAT";"KOMITET WYBORCZY NOWA LEWICA";"Kobieta";"socjolożka";"Warszawa";"146508";"Praga-Północ";"członek partii politycznej: Lewica Razem";"";;;
45;;"Michał GRODZKI";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"menadżer";"Warszawa";"146502";"Bemowo";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
46;;"Mirosław Jan AUGUSTYNIAK";"KOMITET WYBORCZY WYBORCÓW MIROSŁAWA AUGUSTYNIAKA KANDYDATA NA SENATORA RZECZPOSPOLITEJ POLSKIEJ";"Mężczyzna";"inżynier rolnictwa";"Sypniewo";"141109";"gm. Sypniewo";"członek partii politycznej: PSL";"";;;
46;;"Zbigniew DĄBROWSKI";"KOMITET WYBORCZY ZJEDNOCZENI";"Mężczyzna";"architekt";"Ostrołęka";"146101";"m. Ostrołęka";"członek partii politycznej: Konfederacja Korony Polskiej";"";;;
46;;"Adam KASJANIUK";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"doradca finansowy";"Wyszków";"143505";"gm. Wyszków";"członek partii politycznej: Ruch Narodowy";"";;;
46;;"Robert Adam MAMĄTOW";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"polityk";"Ostrołęka";"146101";"m. Ostrołęka";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
46;;"Grzegorz NOWOSIELSKI";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"urzędnik samorządowy";"Rybienko Nowe";"143505";"gm. Wyszków";"członek partii politycznej: Polska 2050 Szymona Hołowni";"";;;
46;;"Bogusław ROGALSKI";"KOMITET WYBORCZY ZJEDNOCZENIE CHRZEŚCIJAŃSKICH RODZIN";"Mężczyzna";"politolog";"Woryty";"281405";"gm. Gietrzwałd";"członek partii politycznej: Zjednoczenie Chrześcijańskich Rodzin";"";;;
47;;"Maciej GÓRSKI";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"urzędnik";"Górki-Grubaki";"143303";"gm. Korytnica";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
47;;"Zbigniew Antoni WIDELSKI";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"adwokat";"Miętne";"140304";"gm. Garwolin";"nie należy do partii politycznej";"";;;
48;;"Krzysztof Wawrzyniec BORKOWSKI";"KOMITET WYBORCZY WYBORCÓW KRZYSZTOFA WAWRZYŃCA BORKOWSKIEGO PAKT SENACKI";"Mężczyzna";"przedsiębiorca";"Borki Sołdy";"142611";"gm. Wiśniew";"członek partii politycznej: Polskie Stronnictwo Ludowe";"";;;
48;;"Waldemar Jerzy KRASKA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"lekarz - specjalista chirurgii ogólnej";"Kosów Lacki";"142905";"gm. Kosów Lacki";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
48;;"Paweł Wojciech WIĘCKOWSKI";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"przedsiębiorca";"Sabnie";"142907";"gm. Sabnie";"członek partii politycznej: Ruch Narodowy";"";;;
48;;"Paweł Stanisław WYRZYKOWSKI";"KOMITET WYBORCZY ZJEDNOCZENI";"Mężczyzna";"świecki krzewiciel wiary";"Ostoje";"142605";"gm. Mordy";"członek partii politycznej: Konfederacja Wolność i Niepodległość";"";;;
49;;"Stanisław KARCZEWSKI";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"lekarz chirurg specjalizacji ogólnej";"Nowe Miasto nad Pilicą";"140608";"gm. Nowe Miasto nad Pilicą";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
49;;"Krzysztof Grzegorz LECHOWSKI";"KOMITET WYBORCZY WYBORCÓW KRZYSZTOFA LECHOWSKIEGO";"Mężczyzna";"rolnik";"Nieznamierowice";"142307";"gm. Rusinów";"nie należy do partii politycznej";"";;;
49;;"Leszek Janusz PRZYBYTNIAK";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"ogrodnik";"Uleniec";"140605";"gm. Grójec";"członek partii politycznej: Polskie Stronnictwo Ludowe";"";;;
50;;"Cezary Edward BRYMORA";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"przedsiębiorca";"Wrzosów";"142506";"gm. Jedlnia-Letnisko";"członek partii politycznej: Polska 2050 Szymona Hołowni";"";;;
50;;"Jarosław DĄBROWSKI";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"nauczyciel";"Jedlnia-Letnisko";"142506";"gm. Jedlnia-Letnisko";"nie należy do partii politycznej";"";;;
50;;"Beata MNICH";"KOMITET WYBORCZY WYBORCÓW BEATA MNICH";"Kobieta";"nauczyciel";"Pawłów";"143001";"gm. Chlewiska";"nie należy do partii politycznej";"";;;
50;;"Jacek Marian NOWAK";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"ekonomista";"Józefówek";"142505";"gm. Jedlińsk";"nie należy do partii politycznej";"";;;
50;;"Wojciech SKURKIEWICZ";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"dziennikarz";"Radom";"146301";"m. Radom";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
51;;"Jerzy CZERWIŃSKI";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"parlamentarzysta";"Prudnik";"161004";"gm. Prudnik";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
51;;"Zbigniew FABIJANIAK";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"technik mechanik";"Brzeg";"160101";"m. Brzeg";"członek partii politycznej: Nowa Nadzieja";"";;;
51;;"Tadeusz JARMUZIEWICZ";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"inżynier elektryk";"Opole";"166101";"m. Opole";"członek partii politycznej: Platforma Obywatelska RP";"";;;
52;;"Henryk Ryszard LAKWA";"KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA";"Mężczyzna";"ekonomista";"Prószków";"160910";"gm. Prószków";"członek partii politycznej: Regionalna. Mniejszość z Większością";"";;;
52;;"Marcin Remigiusz LORENC";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"nauczyciel akademicki";"Opole";"166101";"m. Opole";"nie należy do partii politycznej";"";;;
52;;"Piotr Jan WOŹNIAK";"KOMITET WYBORCZY NOWA LEWICA";"Mężczyzna";"nauczyciel akademicki";"Otmuchów";"160706";"gm. Otmuchów";"członek partii politycznej: Nowa Lewica";"";;;
53;;"Herbert Wincenty CZAJA";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"rolnik";"Kadłub Wolny";"160807";"gm. Zębowice";"nie należy do partii politycznej";"";;;
53;;"Beniamin Wincenty GODYLA";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"ekonomista";"Pawłowice";"160802";"gm. Gorzów Śląski";"członek partii politycznej: Platforma Obywatelska RP";"";;;
53;;"Grzegorz PECZKIS";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"nauczyciel akademicki";"Kędzierzyn-Koźle";"160301";"m. Kędzierzyn-Koźle";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
54;;"Artur Stanisław BURAK";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"lekarz medycyny";"Stalowa Wola";"181801";"m. Stalowa Wola";"członek partii politycznej: Nowa Nadzieja";"";;;
54;;"Janina Zofia SAGATOWSKA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"radca prawny";"Stalowa Wola";"181801";"m. Stalowa Wola";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
55;;"Marek Jan PAPROCKI";"KOMITET WYBORCZY NOWA LEWICA";"Mężczyzna";"nauczyciel";"Mielec";"181101";"m. Mielec";"nie należy do partii politycznej";"";;;
55;;"Zdzisław Stanisław PUPA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"rolnik";"Góra Ropczycka";"181504";"gm. Sędziszów Małopolski";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
55;;"Jacek Tomasz ĆWIĘKA";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"teolog";"Rzeszów";"186301";"m. Rzeszów";"członek partii politycznej: Konfederacja Korony Polskiej";"";;;
56;;"Krzysztof GUTKOWSKI";"KOMITET WYBORCZY WYBORCÓW PROFESORA KRZYSZTOFA GUTKOWSKIEGO";"Mężczyzna";"lekarz medycyny";"Rzeszów";"186301";"m. Rzeszów";"nie należy do partii politycznej";"";;;
56;;"Józef JODŁOWSKI";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"wyższy urzędnik samorządowy";"Lubenia";"181610";"gm. Lubenia";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
56;;"Jolanta Barbara KAŹMIERCZAK";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Kobieta";"inżynier budownictwa";"Rzeszów";"186301";"m. Rzeszów";"członek partii politycznej: Platforma Obywatelska RP";"";;;
56;;"Krzysztof MAZUR";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"ekonomista";"Rudna Wielka";"181612";"gm. Świlcza";"członek partii politycznej: Nowa Nadzieja";"";;;
57;;"Tomasz Grzegorz LEGENY";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"ekonomista";"Jarosław";"180401";"m. Jarosław";"członek partii politycznej: Porozumienie";"";;;
57;;"Janusz SERWIŃSKI";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"specjalista do spraw obsługi posprzedażowej";"Krosno";"186101";"m. Krosno";"członek partii politycznej: Ruch Narodowy";"";;;
57;;"Stanisław Michał SZAŁAJKO";"KOMITET WYBORCZY NOWA LEWICA";"Mężczyzna";"nauczyciel przedmiotu w szkole podstawowej";"Brzozów";"180201";"gm. Brzozów";"członek partii politycznej: Nowa Lewica";"";;;
57;;"Alicja Maria ZAJĄC";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"biolog";"Jasło";"180501";"m. Jasło";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
58;;"Włodzimierz BODNAR";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"lekarz - specjalista chorób płuc dzieci";"Przemyśl";"186201";"m. Przemyśl";"członek partii politycznej: Wspólnie dla Zdrowia";"";;;
58;;"Maria Halina DRAPAK";"KOMITET WYBORCZY WYBORCÓW RUCHU DOBROBYTU I POKOJU";"Kobieta";"pielęgniarka - specjalista pielęgniarstwa psychiatrycznego";"Łukawiec";"180908";"gm. Wielkie Oczy";"nie należy do partii politycznej";"";;;
58;;"Mieczysław Józef GOLBA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"parlamentarzysta";"Wiązownica";"180411";"gm. Wiązownica";"członek partii politycznej: Suwerenna Polska";"";;;
58;;"Dariusz Piotr LASEK";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"pedagog szkolny";"Przemyśl";"186201";"m. Przemyśl";"nie należy do partii politycznej";"";;;
58;;"Adam WOŚ";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"ekonomista";"Czerce";"181407";"gm. Sieniawa";"członek partii politycznej: Platforma Obywatelska RP";"";;;
59;;"Cezary CIEŚLUKOWSKI";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"ekonomista";"Suwałki";"206301";"m. Suwałki";"członek partii politycznej: Polskie Stronnictwo Ludowe";"";;;
59;;"Adam KIEŁCZEWSKI";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"przedsiębiorca";"Grajewo";"200401";"m. Grajewo";"nie należy do partii politycznej";"";;;
59;;"Marek Adam KOMOROWSKI";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"radca prawny";"Zambrów";"201401";"m. Zambrów";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
60;;"Mariusz Krzysztof GROMKO";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"przedsiębiorca";"Białystok";"206101";"m. Białystok";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
60;;"Zbigniew Cezary KASPERCZUK";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"przedsiębiorca";"Fasty";"206101";"m. Białystok";"członek partii politycznej: Ruch Narodowy";"";;;
60;;"Maciej Zenon ŻYWNO";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"pedagog";"Sochonie";"200213";"gm. Wasilków";"członek partii politycznej: Polska 2050 Szymona Hołowni";"";;;
61;;"Anna BOGUCKA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"burmistrz";"Siennica-Lipusy";"201303";"gm. Czyżew";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
61;;"Bartosz MALEWSKI";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"prawnik";"Warszawa";"146518";"Wola";"członek partii politycznej: Ruch Narodowy";"";;;
