"Nr okręgu";"Nr listy";"Pozycja na liście";"Nazwisko i imiona";"Nazwa komitetu";"Płeć";"Zawód";"Miejsce zamieszkania";"TERYT m. z.";"Gmina m. z.";"Przynależność do partii";"Poparcie";"Liczba głosów";"Procent głosów oddanych na listę";"Procent głosów oddanych w okręgu";"Czy przyznano mandat"
1;;;"Marlena Łucja ADLER";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Kobieta";"nauczyciel";"Lubań";"021001";"m. Lubań";"nie należy do partii politycznej";"";;;;
1;;;"Adam BABUŚKA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"przedstawiciel władzy samorządowej - starosta";"Nowa Wieś Legnicka";"020905";"gm. Legnickie Pole";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;;
1;;;"Żaneta BACZYŃSKA";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Kobieta";"filolog języka francuskiego i hiszpańskiego";"Głogów";"020301";"m. Głogów";"członek partii politycznej: Platforma Obywatelska RP";"";;;;
1;;;"Elżbieta BAJER";"KOMITET WYBORCZY NOWA LEWICA";"Kobieta";"pedagog";"Jelenia Góra";"026101";"m. Jelenia Góra";"nie należy do partii politycznej";"";;;;
1;;;"Michał BANDER";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"fizjoterapeuta";"Jawor";"020501";"m. Jawor";"członek partii politycznej: Platforma Obywatelska RP";"";;;;
1;;;"Krystyna Henryka BARCIK";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Kobieta";"ekonomista";"Legnica";"026201";"m. Legnica";"nie należy do partii politycznej";"";;;;
1;;;"Artur BARCIKOWSKI";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"rolnik";"Lubin";"021101";"m. Lubin";"członek partii politycznej: Nowa Nadzieja";"";;;;
1;;;"Bogusław Stanisław BARNAŚ";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"rolnik";"Rzeczyca";"021603";"gm. Grębocice";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;;
1;;;"Przemysław Stanisław BARTKIEWICZ";"KOMITET WYBORCZY POLSKA JEST JEDNA";"Mężczyzna";"administratywista";"Rosochata";"020904";"gm. Kunice";"członek partii politycznej: Polska Jest Jedna";"";;;;
1;;;"Agnieszka Iga BEM";"KOMITET WYBORCZY NOWA LEWICA";"Kobieta";"nauczyciel akademicki";"Legnica";"026201";"m. Legnica";"członek partii politycznej: Nowa Lewica";"";;;;
1;;;"Edyta BIELECKA";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Kobieta";"prawnik";"Szklarska Poręba";"020604";"m. Szklarska Poręba";"nie należy do partii politycznej";"";;;;
1;;;"Wiesław Jan BIENIEK";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"emeryt";"Lubawka";"020703";"gm. Lubawka";"nie należy do partii politycznej";"";;;;
1;;;"Dorota BOJAKOWSKA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"administratywista";"Bogatynia";"022503";"gm. Bogatynia";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;;
1;;;"Piotr BORYS";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"prawnik";"Lubin";"021101";"m. Lubin";"członek partii politycznej: Platforma Obywatelska RP";"";;;;
1;;;"Przemysław Maciej BOŻEK";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"nauczyciel";"Głogów";"020301";"m. Głogów";"nie należy do partii politycznej";"";;;;
1;;;"Olga BURDYNA";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Kobieta";"emerytka";"Żeliszów";"020102";"gm. Bolesławiec";"nie należy do partii politycznej";"";;;;
1;;;"Czesława BŁAUT";"KOMITET WYBORCZY NOWA LEWICA";"Kobieta";"mechanik automatyki przemysłowej i urządzeń precyzyjnych";"Lubin";"021101";"m. Lubin";"członek partii politycznej: Nowa Lewica";"";;;;
1;;;"Beata CASTAÑEDA TRUJILLO";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Kobieta";"ekonomista";"Krotoszyce";"020903";"gm. Krotoszyce";"nie należy do partii politycznej";"";;;;
1;;;"Aleksandra CHOMICZ";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Kobieta";"urzędnik";"Pisarzowice";"021004";"gm. Lubań";"nie należy do partii politycznej";"popierana przez partię polityczną: Polska 2050 Szymona Hołowni";;;;
1;;;"Arkadiusz Bogdan CHYL";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"adwokat";"Bogatynia";"022503";"gm. Bogatynia";"członek partii politycznej: Polska 2050 Szymona Hołowni";"";;;;
1;;;"Dorota Katarzyna CIEMIĘGA";"KOMITET WYBORCZY POLSKA JEST JEDNA";"Kobieta";"pedagog";"Kowary";"020602";"m. Kowary";"członek partii politycznej: Polska Jest Jedna";"";;;;
1;;;"Maciej Jan CIEŚLA";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"nauczyciel";"Chojnów";"020901";"m. Chojnów";"nie należy do partii politycznej";"";;;;
1;;;"Zofia CZERNOW";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Kobieta";"ekonomista";"Jelenia Góra";"026101";"m. Jelenia Góra";"członek partii politycznej: Platforma Obywatelska RP";"";;;;
1;;;"Magdalena Weronika CZUCHRYTA";"KOMITET WYBORCZY NOWA LEWICA";"Kobieta";"politolog";"Lubań";"021001";"m. Lubań";"członek partii politycznej: Nowa Lewica";"";;;;
1;;;"Renata Helena DEMBEK";"KOMITET WYBORCZY POLSKA JEST JEDNA";"Kobieta";"ekonomista";"Polkowice";"021604";"gm. Polkowice";"nie należy do partii politycznej";"";;;;
1;;;"Wojciech Stanisław DOBROŁOWICZ";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"wyższy urzędnik samorządowy - burmistrz";"Gronów";"022507";"gm. Zgorzelec";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;;
1;;;"Krzysztof DZIARMAGA";"KOMITET WYBORCZY NOWA LEWICA";"Mężczyzna";"ślusarz-mechanik";"Chojnów";"020901";"m. Chojnów";"członek partii politycznej: Lewica Razem";"";;;;
1;;;"Sebastian FIJAŁKOWSKI";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"prezes";"Rakowice";"020102";"gm. Bolesławiec";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;;
1;;;"Kaja FILACZYŃSKA";"KOMITET WYBORCZY NOWA LEWICA";"Kobieta";"lekarz";"Legnica";"026201";"m. Legnica";"członek partii politycznej: Lewica Razem";"";;;;
1;;;"Mirosław Edward FUKS";"KOMITET WYBORCZY POLSKA JEST JEDNA";"Mężczyzna";"emeryt";"Lisowice";"020907";"gm. Prochowice";"nie należy do partii politycznej";"";;;;
1;;;"Joanna FURMAŃSKA";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Kobieta";"inspektor ochrony środowiska";"Polkowice";"021604";"gm. Polkowice";"członek partii politycznej: Platforma Obywatelska RP";"";;;;
1;;;"Sławomir Adam GADEK";"KOMITET WYBORCZY NOWA LEWICA";"Mężczyzna";"inżynier mechanik - środki transportu";"Jerzmanowa";"020303";"gm. Jerzmanowa";"członek partii politycznej: Lewica Razem";"";;;;
1;;;"Danuta GAJLEWICZ";"KOMITET WYBORCZY NOWA LEWICA";"Kobieta";"technik ekg";"Bolesławiec";"020101";"m. Bolesławiec";"członek partii politycznej: Nowa Lewica";"";;;;
1;;;"Szymon Jakub GALICKI";"KOMITET WYBORCZY POLSKA JEST JEDNA";"Mężczyzna";"konduktor";"Pieńsk";"022504";"gm. Pieńsk";"członek partii politycznej: Polska Jest Jedna";"";;;;
1;;;"Franciszek Marian GAWLUK";"KOMITET WYBORCZY POLSKA JEST JEDNA";"Mężczyzna";"technik budowlany";"Biedrzychowa";"021604";"gm. Polkowice";"nie należy do partii politycznej";"";;;;
1;;;"Jan Franciszek GRYGORCEWICZ";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"emeryt";"Granowice";"020506";"gm. Wądroże Wielkie";"członek partii politycznej: Polskie Stronnictwo Ludowe";"";;;;
1;;;"Robert Sebastian GRZECHNIK";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"przedsiębiorca";"Wrocław";"026401";"m. Wrocław";"członek partii politycznej: Nowa Nadzieja";"";;;;
1;;;"Katarzyna Aneta GRZELAK";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Kobieta";"wyższy urzędnik samorządowy";"Zawidów";"022501";"m. Zawidów";"nie należy do partii politycznej";"";;;;
1;;;"Łukasz Paweł GRZEŚKOWICZ";"KOMITET WYBORCZY NOWA LEWICA";"Mężczyzna";"geolog";"Strzeszów";"022004";"gm. Wisznia Mała";"członek partii politycznej: Nowa Lewica";"";;;;
1;;;"Leszek Kazimierz GRZYB";"KOMITET WYBORCZY NOWA LEWICA";"Mężczyzna";"przedsiębiorca";"Zgorzelec";"022502";"m. Zgorzelec";"członek partii politycznej: Nowa Lewica";"";;;;
1;;;"Jolanta Ewa GÓRSKA";"KOMITET WYBORCZY POLSKA JEST JEDNA";"Kobieta";"technik rolnik";"Gromadka";"020103";"gm. Gromadka";"członek partii politycznej: Polska Jest Jedna";"";;;;
1;;;"Jarosław Andrzej GĘBORYS";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"ekonomista";"Kamienna Góra";"020701";"m. Kamienna Góra";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;;
1;;;"Kinga GĘSICKA-BIAŁY";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Kobieta";"technik handlowiec";"Tomaszów Bolesławiecki";"020106";"gm. Warta Bolesławiecka";"nie należy do partii politycznej";"";;;;
1;;;"Łukasz HORBATOWSKI";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"ekonomista";"Głogów";"020301";"m. Głogów";"członek partii politycznej: Platforma Obywatelska RP";"";;;;
1;;;"Jeremi Adam HOŁOWNIA";"KOMITET WYBORCZY NOWA LEWICA";"Mężczyzna";"inż. elektryk";"Głogów";"020301";"m. Głogów";"członek partii politycznej: Unia Pracy";"";;;;
1;;;"Agata Mariola HUBSKA";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Kobieta";"fizjoterapeuta";"Lubomierz";"021202";"gm. Lubomierz";"członek partii politycznej: Platforma Obywatelska RP";"";;;;
1;;;"Norbert Romuald HŁADKI";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"inżynier organizacji i planowania produkcji";"Zgorzelec";"022502";"m. Zgorzelec";"nie należy do partii politycznej";"";;;;
1;;;"Krzysztof Piotr JAKUBOWSKI";"KOMITET WYBORCZY POLSKA JEST JEDNA";"Mężczyzna";"glazurnik";"Lubomierz";"021202";"gm. Lubomierz";"nie należy do partii politycznej";"";;;;
1;;;"Grażyna JANIC";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Kobieta";"opiekunka domowa";"Jelenia Góra";"026101";"m. Jelenia Góra";"nie należy do partii politycznej";"";;;;
1;;;"Kamil Gabriel JANIC";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"informatyk";"Jelenia Góra";"026101";"m. Jelenia Góra";"członek partii politycznej: Nowa Nadzieja";"";;;;
1;;;"Agnieszka JANUCHOWSKA";"KOMITET WYBORCZY NOWA LEWICA";"Kobieta";"prawnik";"Jawor";"020501";"m. Jawor";"członek partii politycznej: Nowa Lewica";"";;;;
1;;;"Artur Andrzej JURKOWSKI";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"przedstawiciel władzy samorządowej";"Ruszowice";"020302";"gm. Głogów";"członek partii politycznej: Polskie Stronnictwo Ludowe";"";;;;
1;;;"Marek Piotr KACPRZAK";"KOMITET WYBORCZY NOWA LEWICA";"Mężczyzna";"emeryt";"Smolnik";"021003";"gm. Leśna";"członek partii politycznej: Lewica Razem";"";;;;
1;;;"Elżbieta Malwina KACZMAREK";"KOMITET WYBORCZY NOWA LEWICA";"Kobieta";"pracownik produkcji i kontroli jakości";"Legnica";"026201";"m. Legnica";"członek partii politycznej: Nowa Lewica";"";;;;
1;;;"Agata Agnieszka KANAS-PASTWA";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Kobieta";"ekonomista";"Legnica";"026201";"m. Legnica";"nie należy do partii politycznej";"";;;;
1;;;"Tomasz Stanisław KAPRAL";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"górnik";"Złotoryja";"022602";"m. Złotoryja";"nie należy do partii politycznej";"";;;;
1;;;"Piotr Adam KARWAN";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"ekonomista";"Radwanice";"021606";"gm. Radwanice";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;;
1;;;"Mateusz Robert KASPRZAK";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"zawodowy działacz organizacji pozarządowej";"Lubań";"021001";"m. Lubań";"członek partii politycznej: Nowa Nadzieja";"";;;;
1;;;"Paweł Piotr KLESZCZ";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"politolog";"Wrocław";"026401";"m. Wrocław";"członek partii politycznej: Bezpartyjni Samorządowcy-Łączy nas Polska";"";;;;
1;;;"Klaudia Maja KLIMCZEWSKA";"KOMITET WYBORCZY NOWA LEWICA";"Kobieta";"specjalistka prawa pracy";"Warszwa";"146507";"Praga-Południe";"członek partii politycznej: Nowa Lewica";"";;;;
1;;;"Łukasz KLIMOWSKI";"KOMITET WYBORCZY NOWA LEWICA";"Mężczyzna";"pracownik administracji";"Bolesławiec";"020101";"m. Bolesławiec";"członek partii politycznej: Nowa Lewica";"";;;;
1;;;"Jacek Baltazar KORWIN-MIKKE";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"przedsiębiorca";"Józefów";"141701";"m. Józefów";"członek partii politycznej: Nowa Nadzieja";"";;;;
1;;;"Jarosław KOWALSKI";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"inżynier budownictwa";"Bolesławiec";"020101";"m. Bolesławiec";"nie należy do partii politycznej";"";;;;
1;;;"Mariusz KOZAK";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"przedsiębiorca";"Trzęsów";"021603";"gm. Grębocice";"nie należy do partii politycznej";"";;;;
1;;;"Edyta Rozalia KRAJNIAK-BURBA";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Kobieta";"doradca handlowy";"Zgorzelec";"022502";"m. Zgorzelec";"członek partii politycznej: Polska 2050 Szymona Hołowni";"";;;;
1;;;"Marcin Karol KRASOWSKI";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"informatyk";"Lubin";"021101";"m. Lubin";"członek partii politycznej: Polskie Stronnictwo Ludowe";"";;;;
1;;;"Iwona Małgorzata KRAWCZYK";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Kobieta";"menedżer";"Czadrów";"020702";"gm. Kamienna Góra";"członek partii politycznej: Platforma Obywatelska RP";"";;;;
1;;;"Robert KROPIWNICKI";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"prawnik";"Legnica";"026201";"m. Legnica";"członek partii politycznej: Platforma Obywatelska RP";"";;;;
1;;;"Aleksandra Anna KRZESZEWSKA";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Kobieta";"prawnik";"Legnica";"026201";"m. Legnica";"członek partii politycznej: Platforma Obywatelska RP";"";;;;
1;;;"Zuzanna Anna KRÓLAK";"KOMITET WYBORCZY NOWA LEWICA";"Kobieta";"lekarz weterynarii";"Gryfów Śląski";"021201";"gm. Gryfów Śląski";"członek partii politycznej: Lewica Razem";"";;;;
1;;;"Waldemar KUBAS";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"dyrektor logistyki";"Olbrachtowice";"022307";"gm. Sobótka";"członek partii politycznej: Polska 2050 Szymona Hołowni";"";;;;
1;;;"Krzysztof Jan KUBÓW";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"parlamentarzysta";"Lubin";"021101";"m. Lubin";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;;
1;;;"Paweł KURA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"przedstawiciel władzy samorządowej - radny";"Lubin";"021101";"m. Lubin";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;;
1;;;"Karol KUSIBAB";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"specjalista administracji publicznej";"Leśna";"021003";"gm. Leśna";"nie należy do partii politycznej";"";;;;
1;;;"Elżbieta KWIETNICKA";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Kobieta";"pielęgniarka";"Jelenia Góra";"026101";"m. Jelenia Góra";"nie należy do partii politycznej";"";;;;
1;;;"Mariusz Euzebiusz LAMLA";"KOMITET WYBORCZY POLSKA JEST JEDNA";"Mężczyzna";"inżynier budownictwa";"Głogów";"020301";"m. Głogów";"członek partii politycznej: Polska Jest Jedna";"";;;;
1;;;"Wojciech Paweł LESZCZYK";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"fizyk";"Jelenia Góra";"026101";"m. Jelenia Góra";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;;
1;;;"Lubomir Rafał LESZCZYŃSKI";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"leśnik";"Świeradów-Zdrój";"021002";"m. Świeradów-Zdrój";"członek partii politycznej: Platforma Obywatelska RP";"";;;;
1;;;"Szymon Piotr LEWANDOWSKI";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"pracownik administracji publicznej";"Przemków";"021605";"gm. Przemków";"członek partii politycznej: Ruch Narodowy";"";;;;
1;;;"Marzena Anna MACHAŁEK";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"nauczyciel";"Jelenia Góra";"026101";"m. Jelenia Góra";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;;
1;;;"Zdzisława MADEJ-KWAPISZ";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Kobieta";"lekarz dermatolog";"Wojciechów";"022605";"gm. Zagrodno";"nie należy do partii politycznej";"";;;;
1;;;"Małgorzata Janina MAGNUSKA";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Kobieta";"pedagog";"Warszawa";"146508";"Praga-Północ";"nie należy do partii politycznej";"";;;;
1;;;"Tomasz MALCZEWSKI";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"nauczyciel";"Lwówek Śląski";"021203";"gm. Lwówek Śląski";"nie należy do partii politycznej";"";;;;
1;;;"Anna Agnieszka MELSKA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"nauczyciel";"Złotoryja";"022602";"m. Złotoryja";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;;
1;;;"Rafał MIARA";"KOMITET WYBORCZY NOWA LEWICA";"Mężczyzna";"ekonomista";"Złotoryja";"022602";"m. Złotoryja";"członek partii politycznej: Nowa Lewica";"";;;;
1;;;"Andrzej Marek MIELOCH";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"politolog";"Legnica";"026201";"m. Legnica";"nie należy do partii politycznej";"";;;;
1;;;"Joanna MIERKA";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Kobieta";"nauczyciel";"Ścinawa";"021104";"gm. Ścinawa";"nie należy do partii politycznej";"";;;;
1;;;"Józef Adam NADOLNY";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"nauczyciel przedmiotów zawodowych technicznych";"Piechowice";"020603";"m. Piechowice";"nie należy do partii politycznej";"";;;;
1;;;"Krzysztof NESTER";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"zarządca nieruchomości";"Polkowice";"021604";"gm. Polkowice";"członek partii politycznej: Platforma Obywatelska RP";"";;;;
1;;;"Robert Marcin OBAZ";"KOMITET WYBORCZY NOWA LEWICA";"Mężczyzna";"przedsiębiorca";"Jelenia Góra";"026101";"m. Jelenia Góra";"członek partii politycznej: Nowa Lewica";"";;;;
1;;;"Izabela Magdalena ORNAF";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Kobieta";"inżynier budownictwa lądowego";"Podgórki";"022604";"gm. Świerzawa";"członek partii politycznej: Zieloni";"";;;;
1;;;"Piotr Jerzy PACZÓSKI";"KOMITET WYBORCZY NOWA LEWICA";"Mężczyzna";"ekonomista";"Jelenia Góra";"026101";"m. Jelenia Góra";"członek partii politycznej: Nowa Lewica";"";;;;
1;;;"Radosław Remigiusz PALCZEWSKI";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"prawnik";"Bolesławiec";"020101";"m. Bolesławiec";"członek partii politycznej: Platforma Obywatelska RP";"";;;;
1;;;"Hubert Wojciech PAPAJ";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"specjalista do spraw zarządzania";"Jelenia Góra";"026101";"m. Jelenia Góra";"nie należy do partii politycznej";"";;;;
1;;;"Joanna Agnieszka PIOTROWICZ-DĘBICKA";"KOMITET WYBORCZY NOWA LEWICA";"Kobieta";"prawnik";"Jawor";"020501";"m. Jawor";"członek partii politycznej: Nowa Lewica";"";;;;
1;;;"Maciej Janusz PIOTROWSKI";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"doradca podatkowy";"Głogów";"020301";"m. Głogów";"członek partii politycznej: Ruch Narodowy";"";;;;
1;;;"Krzysztof Wojciech PITNER";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"kierowca";"Legnica";"026201";"m. Legnica";"członek partii politycznej: Polska 2050 Szymona Hołowni";"";;;;
1;;;"Ignacy PIĘTA";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"emeryt";"Marcinowice";"020504";"gm. Mściwojów";"nie należy do partii politycznej";"";;;;
1;;;"Szymon Marek POGODA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"parlamentarzysta";"Bolesławiec";"020101";"m. Bolesławiec";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;;
1;;;"Wiktoria PŁONKA";"KOMITET WYBORCZY POLSKA JEST JEDNA";"Kobieta";"laborant";"Polkowice";"021604";"gm. Polkowice";"członek partii politycznej: Polska Jest Jedna";"";;;;
1;;;"Anna PŁUCIENICZAK";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Kobieta";"księgowa";"Legnica";"026201";"m. Legnica";"nie należy do partii politycznej";"";;;;
1;;;"Robert RACZYŃSKI";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"historyk";"Lubin";"021101";"m. Lubin";"nie należy do partii politycznej";"";;;;
1;;;"Krystyna RADZIĘTA";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Kobieta";"bibliotekarz";"Jędrzychowice";"022507";"gm. Zgorzelec";"członek partii politycznej: Platforma Obywatelska RP";"";;;;
1;;;"Zofia RAK";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Kobieta";"emerytka";"Gryfów Śląski";"021201";"gm. Gryfów Śląski";"członek partii politycznej: Polskie Stronnictwo Ludowe";"";;;;
1;;;"Bartłomiej Błażej RODAK";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"rzecznik prasowy";"Legnica";"026201";"m. Legnica";"nie należy do partii politycznej";"";;;;
1;;;"Arkadiusz Paweł ROJEWSKI";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"politolog";"Głogów";"020301";"m. Głogów";"członek partii politycznej: Polska 2050 Szymona Hołowni";"";;;;
1;;;"Agata Kinga ROKASZEWICZ";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Kobieta";"bankowiec-starszy referent";"Głogów";"020301";"m. Głogów";"członek partii politycznej: Nowa Nadzieja";"";;;;
1;;;"Roman Władysław ROZMYSŁOWSKI";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"dyrektor";"Biedrzychowa";"021604";"gm. Polkowice";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;;
