"Nr okręgu";"Nr listy";"Pozycja na liście";"Nazwisko i imiona";"Nazwa komitetu";"Płeć";"Zawód";"Miejsce zamieszkania";"TERYT m. z.";"Gmina m. z.";"Przynależność do partii";"Poparcie";"Liczba głosów";"Procent głosów oddanych na listę";"Procent głosów oddanych w okręgu";"Czy przyznano mandat"
3;;;"Monika Anna RYBSKA-KORZĘPA";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Kobieta";"nauczyciel";"Spalice";"021406";"gm. Oleśnica";"członek partii politycznej: Platforma Obywatelska RP";"";;;;
3;;;"Aleksandra RYCHARSKA";"KOMITET WYBORCZY NOWA LEWICA";"Kobieta";"specjalista do spraw marketingu i social media";"Brzeg Dolny";"022201";"gm. Brzeg Dolny";"członek partii politycznej: Nowa Lewica";"";;;;
3;;;"Robert Marek RYCHLIK";"KOMITET WYBORCZY POLSKA JEST JEDNA";"Mężczyzna";"kierownik zespołu";"Twardogóra";"021408";"gm. Twardogóra";"nie należy do partii politycznej";"";;;;
3;;;"Katarzyna Anna SEBZDA-SZTUL";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Kobieta";"pedagog";"Gniechowice";"022304";"gm. Kąty Wrocławskie";"nie należy do partii politycznej";"";;;;
3;;;"Mariola SKOWRON";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"technik ekonomista";"Wrocław";"026401";"m. Wrocław";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;;
3;;;"Krzysztof Julian SKWARCZYŃSKI";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"księgowy";"Nysa";"160705";"gm. Nysa";"nie należy do partii politycznej";"";;;;
3;;;"Zuzanna Teresa SMEREKA";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Kobieta";"emeryt";"Wawrzeńczyce";"022306";"gm. Mietków";"członek partii politycznej: Polskie Stronnictwo Ludowe";"";;;;
3;;;"Anna Helena SOBOLAK";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Kobieta";"przedsiębiorca";"Czernica";"022301";"gm. Czernica";"członek partii politycznej: Platforma Obywatelska RP";"";;;;
3;;;"Jan SOCHA";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"pracownik samorządowy";"Wrocław";"026401";"m. Wrocław";"członek partii politycznej: Polskie Stronnictwo Ludowe";"";;;;
3;;;"Agnieszka Anna SOIN";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"parlamentarzysta";"Warszawa";"146510";"Śródmieście";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;;
3;;;"Wojciech Piotr SOLARZ";"KOMITET WYBORCZY POLSKA JEST JEDNA";"Mężczyzna";"nauczyciel";"Kowary";"020602";"m. Kowary";"członek partii politycznej: Polska Jest Jedna";"";;;;
3;;;"Karina Irmina SOWA";"KOMITET WYBORCZY NOWA LEWICA";"Kobieta";"prawnik";"Kamieniec Wrocławski";"022301";"gm. Czernica";"nie należy do partii politycznej";"";;;;
